fips,obesity_pct,poverty_pct,median_income,no_hs_diploma
06051,30.9,0.107,82973,0.1044559585
02105,37.1,0.272,64720,0.06477272730000005
02195,30.8,0.11,68449,0.09407948089999996
01053,43.9,0.29,50333,0.17467351659999997
02122,32,0.121,74185,0.056911335200000024
02185,41.2,0.142,103556,0.09819227610000003
04017,37.9,0.29,51011,0.14006600840000005
01081,38.4,0.149,62301,0.08574288959999998
06067,29.5,0.137,89984,0.11632480720000005
06033,32.7,0.216,57945,0.12915091450000005
05027,37.7,0.278,44175,0.11536277149999996
01101,46.3,0.26,60063,0.11156190649999997
01061,42.2,0.27,50006,0.16790553009999998
05137,40.1,0.263,43767,0.13993435450000002
05103,43.4,0.253,49690,0.11123172209999999
06003,28.4,0.268,83265,0.03735144310000005
01011,51.3,0.398,36204,0.2595554351
04013,30.4,0.139,86973,0.10503699850000003
05011,42.6,0.287,44525,0.12738026540000003
05113,40.2,0.262,47766,0.12617201919999999
06063,29.9,0.182,64121,0.06016570229999996
06049,32.3,0.282,51996,0.12053432740000003
01113,43,0.267,52312,0.14210749889999996
02013,30.7,0.186,83000,0.16110471810000004
02240,35,0.14,79014,0.06974753960000002
01051,38.7,0.17,73125,0.10410879260000006
01019,39.5,0.205,56400,0.16131437400000004
01035,46.4,0.431,46702,0.12513842750000004
01037,41.6,0.28,59736,0.1722747322
05069,46.3,0.32,49581,0.11432957349999995
01073,37.4,0.215,64726,0.09008057759999999
01103,38.5,0.168,70387,0.14915445449999998
05127,37.2,0.266,46026,0.1541690793
01069,40.5,0.246,59412,0.12600349040000003
05077,47,0.461,36735,0.1741935484
05135,39.4,0.254,45258,0.1464198886
06071,33.3,0.174,84576,0.17905700449999995
01009,36,0.166,64962,0.17303798390000003
01087,46.7,0.406,40710,0.15796243889999995
02180,38.6,0.23,75296,0.11393546060000004
04025,27,0.17,67317,0.07503168299999996
01121,45.4,0.228,59491,0.15488651669999998
05015,37.6,0.194,53986,0.16000589880000005
05035,46.7,0.293,52153,0.14711004500000002
05015,37.7,0.194,53986,0.16000589880000005
04001,35.8,0.357,43121,0.1507781414
01121,45.6,0.228,59491,0.15488651669999998
01055,43.6,0.255,52504,0.14222130359999996
01127,35.8,0.233,57950,0.17120769930000002
01089,40.1,0.135,86172,0.07409038040000004
05087,40.8,0.205,52262,0.14226011370000002
05067,43.9,0.32,45762,0.16229535579999999
05063,41.6,0.181,59695,0.12506406969999995
01093,42.5,0.243,48829,0.17891389199999996
05107,48.6,0.452,37338,0.17360046009999996
02198,38.4,0.221,57304,0.07540263540000003
01005,46.8,0.348,45298,0.22186294529999995
05029,41.1,0.23,53863,0.09871715719999996
05063,42,0.181,59695,0.12506406969999995
05129,39.9,0.281,40688,0.19958202719999996
01075,40.8,0.23,50929,0.16100142480000001
01041,40.3,0.271,49128,0.1742091388
06053,31.4,0.204,86809,0.26665210510000004
05019,40,0.204,53561,0.10034741859999996
01115,39.2,0.143,78349,0.12415080479999996
01125,41,0.238,61117,0.09129169370000001
02013,29.8,0.186,83000,0.16110471810000004
05141,39.5,0.238,50332,0.1356830417
01071,39.3,0.192,51479,0.17944048560000003
04023,34.8,0.288,52400,0.22293217470000004
01057,40.6,0.22,49235,0.14768270939999995
02100,33.3,0.131,78649,0.016445287799999986
01087,49.1,0.406,40710,0.15796243889999995
04011,33.1,0.096,71273,0.11907131010000005
05025,42.2,0.208,54458,0.08356597799999999
06029,36.2,0.248,68436,0.22865016729999998
05071,37.4,0.196,50387,0.16096997690000003
05067,43.9,0.32,45762,0.16229535579999999
06053,31.1,0.204,86809,0.26665210510000004
06009,29.8,0.155,77041,0.0665377935
06055,28.2,0.093,100469,0.1529278289
01057,40.6,0.22,49235,0.14768270939999995
05125,34.4,0.121,77844,0.07349885789999999
06049,31.9,0.282,51996,0.12053432740000003
02282,35.4,0.26,77108,0.07788944720000002
05121,41.4,0.236,51480,0.13946935900000001
01079,39.5,0.192,61064,0.1544054748
01019,39.3,0.205,56400,0.16131437400000004
06013,27.8,0.101,122000,0.10387453329999996
01005,47.1,0.348,45298,0.22186294529999995
05025,42.4,0.208,54458,0.08356597799999999
06027,28.5,0.142,71656,0.07195797650000002
02188,40.6,0.23,78619,0.14079333989999998
01125,43.2,0.238,61117,0.09129169370000001
05005,38.2,0.206,48804,0.10598003550000001
01065,47.6,0.322,42380,0.18107945430000005
05141,39.6,0.238,50332,0.1356830417
01119,50,0.454,37021,0.12048869539999996
05097,40.9,0.284,48991,0.12419305260000002
01083,39.6,0.113,81811,0.12437495040000002
05115,45.3,0.16,59016,0.14021686749999995
05029,41.4,0.23,53863,0.09871715719999996
01013,40.4,0.374,44729,0.12405044060000003
01009,36.1,0.166,64962,0.17303798390000003
01073,37.6,0.215,64726,0.09008057759999999
05083,38.1,0.225,51290,0.10710059169999997
02240,35.7,0.14,79014,0.06974753960000002
05129,39.7,0.281,40688,0.19958202719999996
05011,42.5,0.287,44525,0.12738026540000003
02180,38.8,0.23,75296,0.11393546060000004
05059,36.9,0.217,53767,0.10603534510000001
05031,39.1,0.231,60204,0.09745928159999995
01069,40.5,0.246,59412,0.12600349040000003
05057,45.8,0.258,50576,0.16568405139999998
04011,33,0.096,71273,0.11907131010000005
01035,46.8,0.431,46702,0.12513842750000004
05119,40.5,0.237,61344,0.0803831183
06063,30.1,0.182,64121,0.06016570229999996
05077,46.9,0.461,36735,0.1741935484
01131,51.2,0.485,34426,0.22132448419999995
02164,39.4,0.273,62547,0.08895705519999997
06029,36,0.248,68436,0.22865016729999998
05111,41.3,0.271,51635,0.17657715949999997
06023,32.1,0.185,61307,0.0848173699
01117,31.7,0.094,90280,0.05991990140000003
01027,42.5,0.25,52077,0.17243396040000003
02070,38.5,0.313,62598,0.12644079640000006
05073,46.3,0.306,43824,0.18375973300000004
05149,42,0.23,51997,0.1849698379
02020,35,0.099,93881,0.05991843939999997
02220,29.8,0.106,89264,0.0435994099
04013,30.6,0.139,86973,0.10503699850000003
12049,40.6,0.235,53913,0.21628726769999995
06097,26.1,0.095,100157,0.11136242190000001
12117,29.3,0.106,80698,0.06114612399999997
08071,32.9,0.239,52067,0.10384001499999995
13141,45.1,0.441,40099,0.2609486286
12133,39.8,0.247,54678,0.1691006089
08079,25.7,0.171,37108,0.021929824600000036
12113,31.7,0.086,87581,0.07365532379999995
13139,32.3,0.142,78309,0.18662694040000005
13121,28.1,0.17,94510,0.06366013280000005
08087,32.3,0.149,68541,0.1539713371
13011,34.5,0.166,70067,0.17741084220000003
12105,40.2,0.181,66709,0.12481278559999998
12129,38.2,0.142,72916,0.1251492716
13007,43.3,0.391,47850,0.0946341463
12045,35.1,0.221,66806,0.13260423789999998
08087,32.1,0.149,68541,0.1539713371
08005,26.1,0.132,97560,0.08035629450000004
08095,28.9,0.162,59367,0.09479615509999995
08109,29.1,0.303,47829,0.1173913043
06111,25.7,0.128,106526,0.14711447330000005
08117,24.4,0.072,105135,0.05070141110000004
13003,43.9,0.343,44890,0.28386035460000003
